pi+Sigma-			pi-Sigma+			pi0Sigma0				f(1)^2/2+f(0)^2/3	f(0)^2/3	f(1)^2/2	
1331.7	0.00E+00		1331.7	0.00E+00		1331.7	0.00E+00		1331.7	0	0.00E+00	0.00E+00	#DIV/0!
1334.00269	2.84E-01		1334.00269	3.12E-01		1334.00269	2.96E-01		1334.00269	0.2979425	2.96E-01	2.23E-03	0.00754621911258
1336.30537	4.27E-01		1336.30537	4.80E-01		1336.30537	4.50E-01		1336.30537	0.4535815	4.50E-01	3.46E-03	0.00768121673139
1338.60806	5.60E-01		1338.60806	6.42E-01		1338.60806	5.96E-01		1338.60806	0.60099	5.96E-01	4.64E-03	0.007773906102751
1340.91075	6.95E-01		1340.91075	8.09E-01		1340.91075	7.46E-01		1340.91075	0.751824	7.46E-01	5.82E-03	0.007806970509383
1343.21343	8.34E-01		1343.21343	9.87E-01		1343.21343	9.04E-01		1343.21343	0.910646	9.04E-01	7.06E-03	0.007817774147781
1345.51612	9.82E-01		1345.51612	1.18E+00		1345.51612	1.07E+00		1345.51612	1.07994	1.07E+00	8.39E-03	0.00782977929168
1347.8188	1.14E+00		1347.8188	1.39E+00		1347.8188	1.25E+00		1347.8188	1.261405	1.25E+00	9.82E-03	0.007850077502037
1350.12149	1.30E+00		1350.12149	1.61E+00		1350.12149	1.44E+00		1350.12149	1.455585	1.44E+00	1.14E-02	0.007869299691183
1352.42418	1.48E+00		1352.42418	1.85E+00		1352.42418	1.65E+00		1352.42418	1.66362	1.65E+00	1.31E-02	0.007912466072121
1354.72686	1.66E+00		1354.72686	2.11E+00		1354.72686	1.87E+00		1354.72686	1.886265	1.87E+00	1.49E-02	0.00797556830934
1357.02955	1.86E+00		1357.02955	2.39E+00		1357.02955	2.11E+00		1357.02955	2.12482	2.11E+00	1.70E-02	0.008055639896766
1359.33224	2.07E+00		1359.33224	2.69E+00		1359.33224	2.36E+00		1359.33224	2.37976	2.36E+00	1.92E-02	0.008146475579637
