pi+Sigma-			pi-Sigma+			pi0Sigma0				f(1)^2/2+f(0)^2/3	f(0)^2/3	f(1)^2/2		
1331.7	0.00E+00		1331.7	0.00E+00		1331.7	0.00E+00		1331.7	0	0.00E+00	0.00E+00	#DIV/0!	0.00E+00
1334.00269	1.03E-01		1334.00269	1.04E-01		1334.00269	1.03E-01		1334.00269	0.1034265	1.03E-01	4.81E-04	0.004667495580207	9.01E-04
1336.30537	1.54E-01		1336.30537	1.59E-01		1336.30537	1.55E-01		1336.30537	0.1561935	1.55E-01	7.76E-04	0.004989769524766	4.98E-03
1338.60806	2.01E-01		1338.60806	2.11E-01		1338.60806	2.05E-01		1338.60806	0.2056495	2.05E-01	1.09E-03	0.005316236642192	1.01E-02
1340.91075	2.48E-01		1340.91075	2.64E-01		1340.91075	2.55E-01		1340.91075	0.2560175	2.55E-01	1.43E-03	0.005611004403175	1.67E-02
1343.21343	2.97E-01		1343.21343	3.22E-01		1343.21343	3.07E-01		1343.21343	0.3092185	3.07E-01	1.81E-03	0.005899383549389	2.47E-02
1345.51612	3.49E-01		1345.51612	3.84E-01		1345.51612	3.64E-01		1345.51612	0.366443	3.64E-01	2.26E-03	0.006216723094962	3.44E-02
1347.8188	4.06E-01		1347.8188	4.52E-01		1347.8188	4.26E-01		1347.8188	0.4290995	4.26E-01	2.81E-03	0.006597667768428	4.57E-02
1350.12149	4.68E-01		1350.12149	5.27E-01		1350.12149	4.94E-01		1350.12149	0.4974745	4.94E-01	3.44E-03	0.006957980879975	5.93E-02
1352.42418	5.35E-01		1352.42418	6.10E-01		1352.42418	5.69E-01		1352.42418	0.572793	5.69E-01	4.19E-03	0.007363622613901	7.53E-02
1354.72686	6.09E-01		1354.72686	7.03E-01		1354.72686	6.51E-01		1354.72686	0.656167	6.51E-01	5.09E-03	0.007822459505371	9.42E-02
1357.02955	6.91E-01		1357.02955	8.07E-01		1357.02955	7.43E-01		1357.02955	0.7490485	7.43E-01	6.19E-03	0.008327926317405	1.16E-01
1359.33224	7.82E-01		1359.33224	9.24E-01		1359.33224	8.45E-01		1359.33224	0.8528545	8.45E-01	7.50E-03	0.00886903402941	1.42E-01
1361.63492	8.83E-01		1361.63492	1.05E+00		1361.63492	9.60E-01		1361.63492	0.9687035	9.60E-01	9.07E-03	0.009446791394255	1.72E-01
1363.93761	9.95E-01		1363.93761	1.20E+00		1363.93761	1.09E+00		1363.93761	1.098255	1.09E+00	1.09E-02	0.010047547662623	2.06E-01
1366.24029	1.12E+00		1366.24029	1.37E+00		1366.24029	1.23E+00		1366.24029	1.242775	1.23E+00	1.31E-02	0.010649111964088	2.46E-01
1368.54298	1.26E+00		1368.54298	1.55E+00		1368.54298	1.39E+00		1368.54298	1.40403	1.39E+00	1.56E-02	0.011257562662057	2.93E-01
1370.84567	1.41E+00		1370.84567	1.76E+00		1370.84567	1.57E+00		1370.84567	1.583705	1.57E+00	1.85E-02	0.011822770253003	3.47E-01
1373.14835	1.58E+00		1373.14835	1.99E+00		1373.14835	1.76E+00		1373.14835	1.783645	1.76E+00	2.17E-02	0.012318807677901	4.10E-01
1375.45104	1.76E+00		1375.45104	2.25E+00		1375.45104	1.98E+00		1375.45104	2.00601	1.98E+00	2.52E-02	0.012706730477979	4.82E-01
1377.75373	1.97E+00		1377.75373	2.54E+00		1377.75373	2.22E+00		1377.75373	2.253065	2.22E+00	2.88E-02	0.012936712389122	5.66E-01
1380.05641	2.20E+00		1380.05641	2.86E+00		1380.05641	2.49E+00		1380.05641	2.527235	2.49E+00	3.24E-02	0.012992921333002	6.62E-01
1382.3591	2.45E+00		1382.3591	3.22E+00		1382.3591	2.80E+00		1382.3591	2.832825	2.80E+00	3.60E-02	0.01286992773962	7.72E-01
1384.66178	2.73E+00		1384.66178	3.62E+00		1384.66178	3.13E+00		1384.66178	3.17427	3.13E+00	3.95E-02	0.012584454609834	8.98E-01
1386.96447	3.04E+00		1386.96447	4.08E+00		1386.96447	3.52E+00		1386.96447	3.5583	3.52E+00	4.27E-02	0.01213722718261	1.04E+00
1389.26716	3.39E+00		1389.26716	4.59E+00		1389.26716	3.95E+00		1389.26716	3.991415	3.95E+00	4.60E-02	0.011657820967096	1.20E+00
1391.56984	3.78E+00		1391.56984	5.16E+00		1391.56984	4.42E+00		1391.56984	4.47221	4.42E+00	4.91E-02	0.011091642833727	1.38E+00
1393.87253	4.21E+00		1393.87253	5.80E+00		1393.87253	4.95E+00		1393.87253	5.00679	4.95E+00	5.23E-02	0.0105540417802	1.58E+00
1396.17522	4.69E+00		1396.17522	6.51E+00		1396.17522	5.54E+00		1396.17522	5.599505	5.54E+00	5.59E-02	0.010075491778882	1.81E+00
