run num,date,starttime ,,starttime ,start time,endtime ,duration,Acc power,exp. target,HD-Target ,Beam Pol,K1.8D1,K1.8mom,ESS,"CM
(1/2)",beam,Trig,1st trig Req,1st trig Acc,Solenoid,Ushiwaka,FT,SYIM,TM,beam,kaon,pion,MomS+,MomS-,MS+,MS-,IF-H +,IF-H-,IF-V +,IF-V-,DEF,Comment,Log Note,k- purity,"K- on target 
(DEF)","K- on target
(DEF*0.7)","Integrated K- on target
(DEF*0.7)",integrated time,kW*week,integrated kW*week,achievement rate,CDH1*K*n scaler,CDH1*K*p scaler,DAQ eff.,CDH1*K*n,CDH1*K*p,integrated CDH1*K*n,integrated CDH1*K*p
0,########,0:40,00:00:00,00:40:00,2016/5/30 6:19,2016/5/30 6:23,00:04:07,41.83,,Au,negative,-369,1.0 ,200 ,345,K,"beam/5, K/1",,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,20.8,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[beam record],Main Log vol.31,23:24:58,,,,,,,,,,,,,,
1,########,0:40,00:00:00,00:40:00,2016/5/30 6:26,2016/5/30 6:45,00:18:56,41.83,,Au,negative,-369,1.0 ,200 ,345,K,"K*CDH1, pi*CDH1",,,00:00:00,00:00:00,,,,,,,20.8,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[CDC calibration],,,,,,,,,,,,,,,,
2,########,0:40,00:00:00,00:40:00,2016/5/30 7:09,2016/5/30 7:09,00:00:00,41.83,,Au,negative,-369,1.0 ,200 ,345,K,pi?,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pi]  -1900A,,,,,,,,,,,,,,,,
3,########,0:40,00:00:00,00:40:00,2016/5/30 7:09,2016/5/30 7:09,00:00:00,41.83,,Au,negative,-369,1.0 ,200 ,345,K,pi?,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pi]  -1550A,,,,,,,,,,,,,,,,
4,########,0:40,00:00:00,00:40:00,2016/5/30 7:09,2016/5/30 7:09,00:00:00,41.83,,Au,negative,-369,1.0 ,200 ,345,K,pi?,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pi]  -1200A,,,,,,,,,,,,,,,,
5,########,5:20,00:00:00,05:20:00,2016/5/30 7:09,2016/5/30 7:09,00:00:00,41.83,,Au,negative,-369,1.0 ,200 ,345,K,pi?,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pi]  -900A,,,,,,,,,,,,,,,,
6,########,6:32,00:00:00,06:32:00,2016/5/30 7:09,2016/5/30 7:09,00:00:00,41.83,,Au,negative,-369,1.0 ,200 ,345,K,pi?,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pi]  -600A,,,,,,,,,,,,,,,,
7,########,4:21,00:00:00,04:21:00,2016/5/30 7:09,2016/5/30 7:09,00:00:00,41.83,,Au,negative,-369,1.0 ,200 ,345,K,pi?,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pi]  -300A,,,,,,,,,,,,,,,,
8,########,5:10,00:00:00,05:10:00,2016/5/30 7:09,2016/5/30 7:09,00:00:00,41.83,,Au,negative,-369,1.0 ,200 ,345,K,pi?,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pi]  0A,,,,,,,,,,,,,,,,
9,########,5:40,00:00:00,05:40:00,2016/5/30 7:09,2016/5/30 7:09,00:00:00,41.83,,Au,negative,-369,1.0 ,200 ,345,K,pi?,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pi]  350A,,,,,,,,,,,,,,,,
10,########,6:12,00:00:00,06:12:00,2016/5/30 7:09,2016/5/30 7:09,00:00:00,41.83,,Au,negative,-369,1.0 ,200 ,345,K,pi?,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pi]  7000A,,,,,,,,,,,,,,,,
11,########,6:46,00:00:00,06:46:00,2016/5/30 8:45,2016/5/30 8:48,00:03:28,41.83,,Au,negative,-369,1.0 ,200 ,420,p,"p, pi/3",,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  -1900A,,,,,,,,,,,,,,,,
12,########,7:20,00:00:00,07:20:00,2016/5/30 8:52,2016/5/30 8:55,00:03:23,41.83,,Au,negative,-369,1.0 ,200 ,420,p,"p, pi/3",,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  -1550A,,,,,,,,,,,,,,,,
13,########,7:47,00:00:00,07:47:00,2016/5/30 8:55,2016/5/30 8:55,00:00:00,41.83,,Au,negative,-369,1.0 ,200 ,420,p,"p, pi/3",,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  -1200A,,,,,,,,,,,,,,,,
14,########,8:19,00:00:00,08:19:00,2016/5/30 9:16,2016/5/30 9:18,00:02:01,41.83,,Au,negative,-369,1.0 ,200 ,420,p,p,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  -1900A,,,,,,,,,,,,,,,,
15,,,,,2016/5/30 9:18,2016/5/30 9:20,00:01:54,41.83,,Au,negative,-369,1.0 ,200 ,420,p,p,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  -1550A,,,,,,,,,,,,,,,,
16,########,9:55,00:00:00,09:55:00,2016/5/30 9:21,2016/5/30 9:23,00:01:58,41.83,,Au,negative,-369,1.0 ,200 ,420,p,p,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  -1200A,,,,,,,,,,,,,,,,
17,########,9:23,00:00:00,09:23:00,2016/5/30 9:23,2016/5/30 9:25,00:01:59,41.83,,Au,negative,-369,1.0 ,200 ,420,p,p,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  -900A,,,,,,,,,,,,,,,,
18,########,11:00,00:00:00,11:00:00,2016/5/30 9:26,2016/5/30 9:31,00:05:20,41.83,,Au,negative,-369,1.0 ,200 ,420,p,p,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  -600A,,,,,,,,,,,,,,,,
19,########,11:35,00:00:00,11:35:00,2016/5/30 9:31,2016/5/30 9:33,00:01:56,41.83,,Au,negative,-369,1.0 ,200 ,420,p,p,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  -300A,,,,,,,,,,,,,,,,
20,########,12:05,00:00:00,12:05:00,2016/5/30 9:34,2016/5/30 9:36,00:01:55,41.83,,Au,negative,-369,1.0 ,200 ,420,p,p,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  0A,,,,,,,,,,,,,,,,
21,########,13:09,00:00:00,13:09:00,2016/5/30 9:36,2016/5/30 9:42,00:05:22,41.83,,Au,negative,-369,1.0 ,200 ,420,p,p,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  350A,,,,,,,,,,,,,,,,
22,,,,,2016/5/30 9:42,2016/5/30 9:54,00:11:29,41.83,,Au,negative,-369,1.0 ,200 ,420,p,p,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  7000A,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[junk],,,,,,,,,,,,,,,,
