run num,date,starttime ,,starttime ,start time,endtime ,duration,Acc power,exp. target,HD-Target ,Beam Pol,K1.8D1,K1.8mom,ESS,"CM
(1/2)",beam,Trig,1st trig Req,1st trig Acc,Solenoid,Ushiwaka,FT,SYIM,TM,beam,kaon,pion,MomS+,MomS-,MS+,MS-,IF-H +,IF-H-,IF-V +,IF-V-,DEF,Comment,Log Note,k- purity,"K- on target 
(DEF)","K- on target
(DEF*0.7)","Integrated K- on target
(DEF*0.7)",integrated time,kW*week,integrated kW*week,"true K
/spill","true pi
/spill",K/pi
0,,,,,2018/1/17 18:00,2018/1/17 18:00,00:00:00,10.45,,Au,negative,-369,1,200,345,K,beam,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110.1,3.81,-0.26,,junk,Main Log vol.38,,,,,,,,,,
1,,,,,2018/1/17 18:00,2018/1/17 18:00,00:00:00,10.45,,Au,negative,-369,1,200,345,K,beam,,,,1700~2200,,,,,,,160.2,-110,3.3,-1.42,109.8,-110.1,3.81,-0.26,,"[USKW scan] 1700~2200, collector dead",,,,,,,,,,,
2,,,,,2018/1/17 18:00,2018/1/17 18:00,00:00:00,10.45,,Au,negative,-369,1,200,345,K,beam,,,,2100,,,,,,,160.2,-110,3.3,-1.42,109.8,-110.1,3.81,-0.26,,"[USKW scan] 2100, for SKS-TOF",,,,,,,,,,,
3,########,0:40,00:00:00,00:40:00,2018/1/17 18:00,2018/1/17 18:00,00:00:00,10.45,,Au,negative,-369,1,200,345,K,beam,,,,700~,,,,,,,160.2,-110,3.3,-1.42,109.8,-110.1,3.81,-0.26,,junk,,,,,,,,,,,
4,########,0:40,00:00:00,00:40:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,"K, beam/5",,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,[BLDC study] default setting,,,,,,,,,,,
5,########,5:20,00:00:00,05:20:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,[BLDC study] default setting,,,,,,,,,,,
6,########,6:32,00:00:00,06:32:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,[BLDC study] scan,,,,,,,,,,,
7,########,4:21,00:00:00,04:21:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,[BLDC study] scan,,,,,,,,,,,
8,########,5:10,00:00:00,05:10:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,[BLDC study] scan,,,,,,,,,,,
9,########,5:40,00:00:00,05:40:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,[BLDC study] scan,,,,,,,,,,,
10,########,6:12,00:00:00,06:12:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,[BLDC study] scan,,,,,,,,,,,
11,########,6:46,00:00:00,06:46:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,[BLDC study] scan,,,,,,,,,,,
12,########,7:20,00:00:00,07:20:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,[BLDC study] scan,,,,,,,,,,,
13,########,7:47,00:00:00,07:47:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,[BLDC study] scan,,,,,,,,,,,
14,########,8:19,00:00:00,08:19:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,[BLDC study] scan,,,,,,,,,,,
15,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,[BLDC study] scan,,,,,,,,,,,
16,########,9:55,00:00:00,09:55:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,[BLDC study] scan,,,,,,,,,,,
17,########,9:23,00:00:00,09:23:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,[BLDC study] scan,,,,,,,,,,,
18,########,11:00,00:00:00,11:00:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,[BLDC study] scan,,,,,,,,,,,
19,########,11:35,00:00:00,11:35:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,[BLDC study] scan,,,,,,,,,,,
20,########,12:05,00:00:00,12:05:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,[BLDC study] scan,,,,,,,,,,,
21,########,13:09,00:00:00,13:09:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,"CDH1*pi, CDH1*K",,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,junk,,,,,,,,,,,
22,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,983,1600,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,"[CDC study] Vth=0.60V, Dora=+938",,,,,,,,,,,
23,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,983,1600,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,"[CDC study] Vth=0.45V, Dora=+938",,,,,,,,,,,
24,########,14:15,00:00:00,14:15:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,983,1600,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,"[CDC study] Vth=0.75V, Dora=+938",,,,,,,,,,,
25,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,0,0,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,"[CDC study] Vth=0.60V, Dora=0, USWK=0",,,,,,,,,,,
26,########,15:29,00:00:00,15:29:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,0,0,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,junk,,,,,,,,,,,
27,########,16:00,00:00:00,16:00:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,-1900~-1600,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,"[USWK scan] -1900~-1600, collector dead",,,,,,,,,,,
28,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,-1600~-2100,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,"[USWK scan] -1600~-2100, NC-TDC-U17 dead",,,,,,,,,,,
29,########,17:03,00:00:00,17:03:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,junk,,,,,,,,,,,
30,########,17:35,00:00:00,17:35:00,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,700,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,,"[USWK scan] 700, NC-TDC-U17 fixed",,,,,,,,,,,
31,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.56,,Au,negative,-369,1,200,345,K,pi,,,,,,,,,,,160.2,-110,3.3,-1.42,109.8,-110,3.81,-0.26,off,"[D5 scan] -1866, BPD=default",,,,,,,,,,,
