Time [d]	target cell [K]
5.471701389	304.177948
5.472395833	304.1927185
5.473090278	304.2043152
5.473784722	304.2123108
5.474479167	304.2241211
5.475173611	304.2303162
5.475868056	304.2349243
5.4765625	304.237793
5.477256944	304.2464905
5.477951389	304.2516479
5.478645833	304.2563782
5.479340278	304.2600403
5.480034722	304.2635498
5.480729167	304.2698364
5.481423611	304.2742004
5.482118056	304.278656
5.4828125	304.2822876
5.483506944	304.2852173
5.484201389	304.289856
5.484895833	304.2964478
5.485590278	304.2958679
5.486284722	304.2969971
5.486979167	304.3005066
5.487673611	304.3025208
5.488368056	304.3052368
5.4890625	304.3061523
5.489756944	304.3061523
5.490451389	304.3108826
5.491145833	304.3103027
5.491840278	304.3099976
5.492534722	304.3096619
5.493229167	304.3105774
5.493923611	304.3109436
5.494618056	304.309845
5.4953125	304.310791
5.496006944	304.308075
5.496701389	304.3070068
5.497395833	304.3063049
5.498090278	304.3066101
5.498784722	304.3047791
5.499479167	304.3033447
5.500173611	304.3025208
5.500868056	304.3005371
5.5015625	304.2970276
5.502256944	304.2964783
5.502951389	304.2958069
5.503645833	304.2935181
5.504340278	304.2933655
5.505034722	304.291748
5.505729167	304.2867737
5.506423611	304.2851868
5.507118056	304.2824707
5.5078125	304.2810364
5.508506944	304.2787781
5.509201389	304.2739258
5.509895833	304.271759
5.510590278	304.2672729
5.511284722	304.264679
5.511979167	304.2632446
5.512673611	304.2574463
5.51337963	304.2521362
5.514074074	304.2493896
5.514768519	304.2453918
5.515462963	304.240448
5.516157407	304.2345886
5.516851852	304.2316589
5.517546296	304.2252197
5.518240741	304.2207336
5.518935185	304.2176819
5.51962963	304.2112732
5.520324074	304.2062683
5.521018519	304.2014465
5.521712963	304.195282
5.522407407	304.1906433
5.523101852	304.1831055
5.523796296	304.1791687
5.524490741	304.1736755
5.525185185	304.1690369
5.52587963	304.1637268
5.526574074	304.1576538
5.527268519	304.1544189
5.527962963	304.1508789
5.528657407	304.1434326
5.529351852	304.1380615
5.530046296	304.1340942
5.530740741	304.1265259
5.531435185	304.1231689
5.53212963	304.1174927
5.532824074	304.1134338
5.533518519	304.1062622
5.534212963	304.1022949
